Oznaka,Ime_podjetja,Cena,Sprememba_cene,Sprememba_v_odstotkih,PE_razmerje,Stevilo_delnic,Sprememba_do_danes
CHDN,CHURCHILL DOWNS INC,137.19,+1.57,+1.16%,38.9,159.4K,-0.01%

CHUY,CHUY'S HOLDINGS INC,25.91,-0.19,-0.73%,39.9,83.2K,-0.04%

CBB,CINCINNATI BELL INC,10.68,+0.14,+1.33%,NM,710.2K,+2.01%

CIR,CIRCOR INTERNATIONAL IN,44.27,+0.10,+0.23%,NM,63.5K,-4.26%

CRUS,CIRRUS LOGIC INC,85.34,+1.05,+1.25%,44.0,542.8K,+3.56%

CTRN,CITI TRENDS INC,22.06,-0.33,-1.47%,18.7,70.9K,-4.58%

CZNC,CITIZENS & NORTHERN COR,27.98,+0.62,+2.27%,18.4,10.7K,-0.96%

CIA,CITIZENS INC,6.77,-0.04,-0.59%,NM,41.1K,+0.30%

CHCO,CITY HOLDING CO,81.59,-0.12,-0.15%,17.3,43.9K,-0.44%

CLNE,CLEAN ENERGY FUELS CORP,2.69,+0.08,+3.07%,NM,719.3K,+14.96%

CLW,CLEARWATER PAPER CORP,18.93,-0.38,-1.97%,NM,131.9K,-11.38%

CLVS,CLOVIS ONCOLOGY INC,9.98,-0.79,-7.38%,NM,11.6M,-4.27%

CCNE,CNB FINL CORP PA,31.60,-0.29,-0.91%,12.5,21.4K,-3.30%

CNO,CNO FINANCIAL GROUP,18.02,+0.08,+0.45%,18.0,942.8K,-0.61%

COKE,COCA COLA BOTTLING,276.46,-0.80,-0.29%,NM,38.5K,-2.67%

CDE,COEUR MINING INC,6.40,+0.11,+1.75%,NM,9.1M,-20.79%

CCOI,COGENT COMMUNICATIONS,70.50,+1.26,+1.82%,87.0,482.0K,+7.13%

CGNX,COGNEX CORP,56.07,+0.53,+0.95%,57.8,615.6K,+0.05%

CNS,COHEN & STEERS INC,62.99,+0.85,+1.37%,24.6,158.3K,+0.37%

COHR,COHERENT INC,172.45,-0.47,-0.27%,77.7,243.2K,+3.67%

COHU,COHU INC,23.33,-0.07,-0.30%,NM,186.8K,+2.10%

CSTR,COINSTAR INC,16.19,-0.16,-0.98%,20.5,20.4K,-2.76%

CLNY,COLONY FINANCIAL INC,4.84,+0.01,+0.21%,NM,1.6M,+1.89%

COLB,COLUMBIA BKG SYSTEM INC,39.19,-0.31,-0.78%,14.8,244.2K,-3.67%

COLM,COLUMBIA SPORTSWEAR CO,99.75,-0.62,-0.62%,20.9,307.5K,-0.44%

CMCO,COLUMBUS MCKINNON CORP,38.65,-0.47,-1.20%,17.0,281.2K,-3.45%

FIX,COMFORT SYSTEMS USA INC,48.37,-0.35,-0.72%,17.1,178.3K,-2.97%

CMC,COMMERCIAL METALS CO,22.80,-0.37,-1.60%,10.4,2.1M,+2.38%

CVGI,COMMERCIAL VEH GROUP IN,6.00,-0.16,-2.60%,5.2,133.8K,-5.51%

CBU,COMMUNITY BANK SYSTEMS,71.21,+0.50,+0.71%,22.3,339.1K,+0.38%

CTBI,COMMUNITY TRUST BANCORP,46.04,-0.10,-0.22%,12.7,25.1K,-1.29%

CVLT,COMMVAULT SYSTEMS INC,45.60,+0.39,+0.86%,NM,700.1K,+2.15%

CPSI,COMPUTER PROGRAMS & SYS,26.00,+0.20,+0.78%,21.8,90.1K,-1.52%

CTG,COMPUTER TASK GROUP INC,5.21,+0.06,+1.17%,NM,14.0K,+0.58%

CIX,COMPX INTERNATIONAL,15.20,+0.20,+1.33%,12.4,644.00,+4.18%

SCOR,COMSCORE INC,5.22,+0.09,+1.75%,NM,400.7K,+5.67%

CRK,COMSTOCK RESOURCES INC,7.81,-0.10,-1.26%,NM,463.8K,-5.10%

CMTL,COMTECH TELECOMM,36.18,-0.02,-0.06%,31.5,109.1K,+1.94%

CNMD,CONMED CORP,111.24,+1.06,+0.96%,110.1,208.6K,-0.53%

CNOB,CONNECTONE BANCORP INC,25.46,-0.26,-1.01%,12.5,64.3K,-1.01%

CONN,CONNS INC,10.62,-0.39,-3.54%,4.0,1.3M,-14.29%

CNSL,CONSOLIDATED COMM,4.00,+0.08,+2.04%,NM,842.5K,+3.09%

CTO,CONSOLIDATED TOMOKA LAN,61.50,+0.23,+0.38%,10.2,11.1K,+1.96%

CWCO,CONSOLIDATED WATER CO,16.22,-0.15,-0.92%,27.0,70.5K,-0.49%

CPSS,CONSUMER PORTFOLIO SVCS,3.42,0.00,0.00%,8.0,65.00,+1.48%

MCF,CONTANGO OIL & GAS CO,3.78,+0.28,+8.00%,NM,274.4K,+3.00%

CTB,COOPER TIRE & RUBBER CO,27.85,-0.33,-1.17%,31.3,197.3K,-3.13%

CORT,CORCEPT THERAPEUTICS IN,12.08,+0.15,+1.26%,17.0,655.4K,-0.17%

CORE,CORE MARK HOLDING CO IN,25.09,-0.63,-2.45%,21.4,189.2K,-7.72%

COR,CORESITE REALTY CORP,111.04,+0.06,+0.05%,53.4,353.4K,-0.96%

CSOD,CORNERSTONE ONDEMAND IN,59.30,-0.02,-0.03%,NM,318.2K,+1.28%

CRTX,CORNERSTONE THERAPEUTIC,47.90,+4.76,+11.03%,NM,291.6K,-14.68%

CRVL,CORVEL CORP,91.73,+0.88,+0.97%,35.7,55.2K,+5.00%

CSGP,COSTAR GROUP INC,629.69,+4.31,+0.69%,74.2,209.0K,+5.25%

CUZ,COUSINS PROPERTIES INC,40.29,+0.01,+0.02%,82.2,400.9K,-2.21%

COWN,COWEN GROUP INC,16.55,+0.01,+0.06%,29.6,118.9K,+5.08%

CRAI,CRA INTERNATIONAL INC,54.49,-0.30,-0.55%,19.9,23.6K,+0.04%

CBRL,CRACKER BARREL STORE,154.93,-1.78,-1.14%,17.0,296.1K,+0.77%

BREW,CRAFT BREW ALLIANCE,16.48,-0.02,-0.12%,NM,153.8K,-0.12%

CACC,CREDIT ACCEP CORP MICH,432.86,-0.35,-0.08%,12.8,124.1K,-2.14%

CROX,CROCS INC,43.40,+0.72,+1.69%,NM,1.1M,+3.60%

CCRN,CROSS COUNTRY HEALTHCAR,10.32,-0.21,-1.99%,NM,120.4K,-11.19%

CRY,CRYOLIFE INC,28.10,+0.10,+0.36%,702.5,136.8K,+3.73%

CSGS,CSG SYSTEMS INTL INC,51.84,+0.71,+1.39%,20.8,180.7K,+0.12%

CSS,CSS INDUSTRIES INC,4.02,0.00,0.00%,NM,22.6K,-8.84%

CTS,CTS CORP,30.16,-0.09,-0.30%,22.8,128.0K,+0.50%

CUBE,CUBESMART,30.64,-0.37,-1.19%,33.3,2.3M,-2.67%

CUB,CUBIC CORP,68.92,+1.77,+2.64%,41.3,216.3K,+8.42%

CMLS,CUMULUS MEDIA INC,16.42,-0.04,-0.24%,0.4,71.0K,-6.55%

CRIS,CURIS INC,1.68,+0.01,+0.60%,NM,29.6K,-1.18%

CUTR,CUTERA INC,37.11,+0.24,+0.65%,NM,115.5K,+3.63%

CVBF,CVB FINANCIAL CORP,21.35,0.00,0.00%,15.0,478.6K,-1.07%

CONE,CYRUSONE INC,65.52,+0.57,+0.88%,NM,823.4K,+0.14%

CYTK,CYTOKINETICS INC,11.50,+0.165,+1.46%,NM,836.4K,+8.34%

DJCO,DAILY JOURNAL CORP,284.70,+2.70,+0.96%,NM,2.2K,-1.97%

DAKT,DAKTRONICS INC,6.00,-0.045,-0.74%,600.0,109.1K,-1.48%

DAN,DANA HOLDING CORP,17.03,-0.07,-0.41%,10.3,851.2K,-6.43%

DAR,DARLING INTERNATIONAL,28.49,-0.09,-0.31%,43.8,1.0M,+1.46%

DWSN,DAWSON GEOPHYSICAL CO,2.62,+0.02,+0.77%,NM,34.8K,+9.17%

DENN,DENNYS CORP,20.48,0.00,0.00%,11.6,319.0K,+3.02%

DXLG,DESTINATION XL GRP INC,1.17,+0.05,+4.46%,NM,47.4K,-8.59%

DXCM,DEXCOM INC,239.27,+6.04,+2.59%,NM,959.2K,+9.39%

DHIL,DIAMOND HILL INVESTMENT,141.70,-0.49,-0.34%,10.6,19.8K,+0.88%

FANG,DIAMONDBACK ENERGY INC,94.15,+0.82,+0.88%,13.4,1.5M,+1.39%

DRH,DIAMONDROCK HOSPITALITY,10.33,-0.10,-0.96%,28.7,3.8M,-6.77%

DHX,DICE HOLDINGS INC,3.05,+0.01,+0.33%,13.3,101.0K,+1.33%

DGII,DIGI INTL INC,17.31,-0.26,-1.48%,49.5,529.9K,-2.31%

DMRC,DIGIMARC CORPORATION,35.94,+0.77,+2.19%,NM,95.5K,+7.09%

DRIV,DIGITAL RIVER INC,15.15,+0.025,+0.17%,--,35.1K,+2.39%

DCOM,DIME CMNTY BANCSHARES,19.99,+0.02,+0.10%,17.4,109.3K,-4.31%

DIN,DINEEQUITY INC,84.78,-1.66,-1.92%,14.8,230.5K,+1.51%

DIOD,DIODES INC,57.85,+0.30,+0.52%,22.0,362.4K,+2.63%

DORM,DORMAN PRODUCTS INC,75.55,-0.27,-0.36%,24.7,92.0K,-0.22%

PLOW,DOUGLAS DYNAMICS INC,56.04,+0.12,+0.21%,25.0,92.5K,+1.89%

DSPG,DSP GROUP INC,15.92,+0.16,+1.02%,NM,97.1K,+1.14%

DCO,DUCOMMUN INC,43.45,+0.19,+0.44%,21.2,100.4K,-14.01%

DXPE,DXP ENTERPRISES INC NEW,39.40,+0.19,+0.48%,16.1,43.1K,-1.03%

BOOM,DYNAMIC MATERIALS CORP,44.85,+1.06,+2.42%,12.3,164.8K,-0.20%

DVAX,DYNAVAX TECHNOLOGIES,5.89,-0.25,-4.07%,NM,1.1M,+2.97%

EGBN,EAGLE BANCORP INC,47.95,-0.12,-0.25%,11.2,99.8K,-1.40%

EGP,EASTGROUP PROPERTIES IN,130.80,+0.51,+0.39%,53.4,165.6K,-1.41%

EBIX,EBIX INC,32.42,-0.12,-0.37%,11.9,185.6K,-2.96%

ECHO,ECHO GLOBAL LOGISTICS,20.90,+0.12,+0.58%,27.9,239.9K,+0.97%

EGAN,EGAIN CORPORATION,7.92,+0.06,+0.76%,49.5,64.8K,0.00%

EHTH,EHEALTH INC,94.42,-1.85,-1.92%,230.3,425.3K,-1.73%

EARN,ELLINGTON RESIDENTIAL,10.80,-0.06,-0.55%,49.1,58.3K,-0.46%

EME,EMCOR GROUP INC,86.50,+1.71,+2.02%,15.5,214.8K,+0.23%

EBS,EMERGENT BIOSOLUTIONS,56.68,+1.62,+2.94%,809.7,303.4K,+5.06%

EIG,EMPLOYERS HOLDINGS INC,42.24,+0.06,+0.14%,9.2,137.8K,+1.17%

ENTA,ENANTA PHARMACEUTICALS,60.33,-0.52,-0.85%,27.3,220.9K,-2.35%

ECPG,ENCORE CAPITAL GROUP IN,35.66,+0.32,+0.91%,6.4,216.5K,+0.85%

WIRE,ENCORE WIRE CORP,56.83,-0.02,-0.04%,16.4,159.4K,-0.99%

ELGX,ENDOLOGIX INC,1.91,+0.01,+0.53%,NM,263.4K,+20.89%

ERII,ENERGY RECOVERY INC,9.82,+0.01,+0.10%,39.3,110.2K,+0.31%

ENS,ENERSYS INC,74.79,-0.54,-0.72%,18.1,173.9K,-0.05%

EBF,ENNIS INC,21.26,-0.69,-3.14%,14.7,97.1K,-1.80%

ENPH,ENPHASE ENERGY INC,31.59,+0.59,+1.90%,87.8,6.5M,+20.90%

NPO,ENPRO INDUSTRIES INC,67.73,+0.95,+1.42%,102.6,86.9K,+1.27%

ENSG,ENSIGN GROUP INC,46.93,+0.59,+1.28%,23.9,211.3K,+3.43%

ESGR,ENSTAR GROUP LIMITED,202.59,-1.24,-0.61%,7.5,52.9K,-2.06%

ENTG,ENTEGRIS INC,52.19,+0.69,+1.34%,25.8,569.8K,+4.19%

ETM,ENTERCOM COMMUNICATIONS,4.36,-0.15,-3.33%,NM,615.5K,-6.03%

EBTC,ENTERPRISE BANCORP INC,33.50,+0.24,+0.72%,12.3,6.0K,-1.09%

EFSC,ENTERPRISE FINL SERVICE,48.18,+0.12,+0.25%,13.9,84.8K,-0.06%

EVC,ENTRAVISION COMM,2.42,-0.12,-4.72%,NM,231.8K,-7.63%

ENV,ENVESTNET INC,73.63,+0.65,+0.89%,NM,230.0K,+5.74%

EPAM,EPAM SYSTEMS INC,223.29,+1.91,+0.86%,52.0,183.5K,+5.25%

EPZM,EPIZYME INC,24.34,+0.30,+1.25%,NM,706.1K,-1.06%

PLUS,EPLUS INC,84.74,-2.05,-2.36%,17.3,57.1K,+0.53%

EPR,EPR PROPERTIES,70.15,-0.19,-0.27%,27.1,686.0K,-0.69%

ERA,ERA GROUP INC,9.71,-0.16,-1.62%,NM,67.6K,-4.52%

ESE,ESCO TECHNOLOGIES INC,96.40,-0.66,-0.68%,31.1,129.7K,+4.22%

ESSA,ESSA BANCORP INC,17.55,+0.08,+0.46%,14.9,5.3K,+3.54%

ETH,ETHAN ALLEN INTERIORS,17.68,-0.56,-3.07%,15.2,296.9K,-7.24%

EEFT,EURONET WORLDWIDE INC,161.30,+3.18,+2.01%,29.4,418.8K,+2.37%

EVR,EVERCORE PARTNERS,75.11,-0.22,-0.29%,9.3,486.8K,+0.47%

EVTC,EVERTEC INC,34.56,+0.35,+1.02%,25.8,354.3K,+1.53%

EPM,EVOLUTION PETROLEUM COR,5.30,+0.01,+0.19%,14.7,126.9K,-3.11%

EXAS,EXACT SCIENCES CORP,103.55,+2.30,+2.27%,NM,2.2M,+11.97%

EXEL,EXELIXIS INC,18.63,-0.32,-1.69%,9.5,3.0M,+5.73%

EXLS,EXLSERVICE HOLDINGS INC,70.50,0.00,0.00%,48.6,208.2K,+1.50%

XONE,EXONE COMPANY,7.64,+0.04,+0.53%,NM,46.2K,+2.41%

EXPO,EXPONENT INC,69.45,+0.62,+0.90%,47.6,194.5K,+0.64%

EXPR,EXPRESS INC,4.88,-0.21,-4.13%,NM,1.7M,+0.21%

EXTR,EXTREME NETWORKS INC,7.37,-0.02,-0.27%,NM,849.1K,0.00%

EZPW,EZCORP INC,6.39,-0.13,-1.99%,127.8,382.8K,-6.30%

FICO,FAIR ISAAC CORP,401.51,+10.18,+2.60%,63.3,273.5K,+7.16%

FARM,FARMER BROS CO,13.05,-0.72,-5.23%,NM,66.9K,-13.35%

FARO,FARO TECHNOLOGIES INC,54.42,+1.10,+2.06%,NM,116.0K,+8.08%

FFG,FBL FINANCIAL GROUP INC,59.02,+0.34,+0.58%,15.0,14.3K,+0.15%

AGM,FEDERAL AGRIC MTG CO,82.50,-0.46,-0.55%,10.6,50.6K,-1.20%

FSS,FEDERAL SIGNAL CORP,33.36,+0.30,+0.91%,18.5,305.4K,+3.44%

FOE,FERRO CORP,14.51,+0.07,+0.48%,25.0,712.1K,-2.16%

FDUS,FIDUS INVESTMENT CORP,15.10,+0.06,+0.40%,9.2,84.4K,+1.75%

FRGI,FIESTA RESTAURANT GROUP,10.48,-0.06,-0.57%,NM,271.8K,+5.97%

FISI,FINANCIAL INSTNS INC,31.68,+0.01,+0.03%,12.1,30.1K,-1.31%

FAF,FIRST AMERICAN FINL COR,58.96,+0.69,+1.18%,11.6,785.8K,+1.10%

FNLC,FIRST BANCORP INC,30.00,-0.07,-0.23%,12.9,11.3K,-0.76%

FBNC,FIRST BANCORP NC,38.79,-0.21,-0.54%,12.2,40.2K,-2.81%

FBP,FIRST BANCORP PR,10.57,+0.04,+0.38%,10.0,1.8M,-0.19%

BUSE,FIRST BUSEY CORP,27.22,+0.13,+0.48%,14.6,96.5K,-1.04%

FCFS,FIRST CASH FINANCIAL,82.93,+0.91,+1.11%,22.8,201.9K,+2.85%

FCBC,FIRST CMNTY BANCSHAR,30.34,+0.27,+0.90%,12.5,45.6K,-2.19%

FCF,FIRST COMMONWLTH FINL,14.22,-0.05,-0.35%,13.3,337.1K,-2.00%

FDEF,FIRST DEFIANCE FINANCIA,31.06,+0.04,+0.13%,12.7,55.5K,-1.37%

FFBC,FIRST FINANCIAL BANCORP,24.97,-0.075,-0.30%,12.0,192.6K,-1.85%

THFF,FIRST FINANCIAL CORP,43.96,-0.39,-0.88%,12.1,25.9K,-3.85%

FFIN,FIRST FINL BANKSHARES,34.55,+0.04,+0.12%,29.0,179.7K,-1.57%

FFNW,FIRST FINL NORTHWEST,14.89,+0.08,+0.54%,15.4,5.1K,-0.33%

FIBK,FIRST INTST BANCSYSTEM,41.16,-0.25,-0.60%,15.3,156.3K,-1.81%

FLIC,FIRST LONG ISLAND CORP,23.89,-0.15,-0.62%,14.2,19.5K,-4.74%

FRME,FIRST MERCHANTS CORP,41.07,-0.11,-0.27%,13.0,73.6K,-1.25%

FMBI,FIRST MIDWEST BANCORP,22.77,+0.02,+0.09%,13.1,502.3K,-1.26%

SVVC,FIRSTHAND TECH VALUE,6.44,+0.0121,+0.19%,NM,11.7K,+0.11%

FIVE,FIVE BELOW,124.48,+1.58,+1.29%,45.4,1.2M,-2.64%

FBC,FLAGSTAR BANCORP INC,38.48,0.00,0.00%,10.3,230.2K,+0.60%

FLXS,FLEXSTEEL INDUSTRIES IN,20.65,+0.03,+0.15%,NM,14.9K,+3.66%

FTK,FLOTEK INDS INC DEL,1.69,-0.07,-3.98%,NM,540.6K,-15.50%

FLDM,FLUIDIGM CORP,3.41,-0.07,-2.01%,NM,889.1K,-2.01%

FFIC,FLUSHING FINANCIAL CORP,21.08,-0.08,-0.38%,14.7,46.4K,-2.43%

FNB,FNB CORP,12.45,+0.01,+0.08%,10.6,1.0M,-1.97%

FOR,FORESTAR GROUP INC,20.46,-0.34,-1.63%,25.9,29.9K,-1.87%

FORM,FORMFACTOR INC,26.43,-0.04,-0.15%,18.9,297.4K,+1.77%

FORR,FORRESTER RESEARCH INC,42.55,-0.07,-0.16%,NM,75.4K,+2.04%

FET,FORUM ENERGY TECH,1.80,-0.07,-3.74%,NM,512.6K,+7.14%

FWRD,FORWARD AIR CORP,69.17,+0.13,+0.19%,22.1,63.2K,-1.12%

FSTR,FOSTER L B CO,20.12,+0.17,+0.85%,NM,21.5K,+3.82%

FRAN,FRANCESCAS HOLDINGS COR,8.91,-0.15,-1.66%,NM,90.5K,-14.16%

FELE,FRANKLIN ELECTRIC CO,58.44,+0.65,+1.12%,27.6,119.7K,+1.95%

FSP,FRANKLIN STREET PPTYS C,7.83,-0.09,-1.14%,195.8,218.8K,-8.53%

RAIL,FREIGHTCAR AMERICA INC,1.86,-0.02,-1.06%,NM,163.3K,-10.14%

FDP,FRESH DEL MONTE PRODUCE,34.08,-0.16,-0.47%,28.4,137.8K,-2.57%

FRO,FRONTLINE LTD,13.14,+0.42,+3.30%,39.8,1.5M,+2.18%

FCN,FTI CONSULTING INC,114.60,+1.10,+0.97%,20.7,206.3K,+3.56%

FCEL,FUELCELL ENERGY INC,2.19,-0.10,-4.37%,NM,29.8M,-12.75%

FUL,FULLER H B CO,48.44,-0.35,-0.72%,18.0,221.4K,-6.07%

GIII,G-III APPAREL GROUP LTD,31.65,-1.16,-3.54%,10.9,700.7K,-5.52%

GCAP,GAIN CAPITAL HLDNGS INC,4.16,+0.10,+2.46%,NM,107.7K,+5.32%

GBL,GAMCO INVESTORS INC,18.23,-0.47,-2.51%,6.3,11.6K,-6.46%

GARS,GARRISON CAP INC,5.86,+0.03,+0.51%,NM,23.7K,+0.69%

GLOG,GASLOG LTD,9.23,+0.08,+0.87%,NM,445.3K,-5.72%

GNRC,GENERAC HOLDINGS INC,99.40,-0.63,-0.63%,24.1,750.8K,-1.18%

GMO,GENERAL MOLY INC,0.23,-0.0076,-3.16%,NM,322.9K,+2.33%

GCO,GENESCO INC,47.79,-0.53,-1.10%,15.1,356.1K,-0.27%

GNE,GENIE ENERGY LTD,7.49,+0.02,+0.27%,13.1,104.4K,-3.10%

GNMK,GENMARK DIAGNOSTICS INC,5.31,+0.05,+0.95%,NM,291.0K,+10.40%

THRM,GENTHERM INC,46.00,-0.50,-1.08%,39.3,131.8K,+3.63%

GEO,GEO GROUP INC,15.28,-0.39,-2.49%,11.2,1.4M,-8.01%

GEOS,GEOSPACE TECHNOLOGIES,15.31,-0.47,-2.98%,NM,52.1K,-8.71%

GABC,GERMAN AMERICAN BANCORP,35.45,+0.01,+0.03%,16.6,62.8K,-0.48%

GERN,GERON CORP,1.37,+0.04,+3.01%,NM,1.4M,+0.74%

GTY,GETTY REALTY CORP,32.01,-0.13,-0.40%,26.7,89.1K,-2.62%

ROCK,GIBRALTAR INDUSTRIES IN,50.89,+1.14,+2.29%,26.1,192.7K,+0.89%

GBCI,GLACIER BANCORP INC,44.63,+0.02,+0.04%,19.1,263.0K,-2.53%

GLAD,GLADSTONE CAPITAL CORP,10.03,+0.025,+0.25%,14.8,124.2K,+1.01%

GOOD,GLADSTONE COMMERCIAL,21.02,-0.065,-0.31%,"1,050.8",152.4K,-3.87%

GAIN,GLADSTONE INVESTMENT,13.29,+0.07,+0.53%,12.1,197.3K,+0.30%

GLT,GLATFELTER,17.40,-0.13,-0.74%,47.0,149.5K,-4.92%

ENT,GLOBAL EAGLE ENTMT INC,0.46,-0.0121,-2.56%,NM,167.3K,-8.00%

GBLI,GLOBAL INDEMNITY PLC,30.20,+0.15,+0.50%,NM,3.8K,+1.92%

GSM,GLOBE SPECIALTY METALS,0.85,-0.0405,-4.55%,NM,543.5K,-9.63%

GMED,GLOBUS MEDICAL INC,54.55,-3.97,-6.78%,37.9,1.4M,-7.35%

GLUU,GLU MOBILE INC,5.75,-0.23,-3.85%,NM,3.3M,-4.96%

GORO,GOLD RESOURCE CORP,5.10,-0.09,-1.73%,51.0,580.7K,-8.00%

GBDC,GOLUB CAP BDC INC,18.22,+0.04,+0.22%,NM,770.4K,-1.27%

GDP,GOODRICH PETROLEUM CORP,8.95,-0.15,-1.65%,5.4,4.9K,-10.86%

GRC,GORMAN RUPP CO,37.50,+0.14,+0.37%,26.6,36.0K,0.00%

