Oznaka,Ime_podjetja,Cena,Sprememba_cene,Sprememba_v_odstotkih,PE_razmerje,Stevilo_delnic,Sprememba_do_danes
MTG,MGIC INVESTMENT CORP,14.03,+0.21,+1.52%,7.9,1.8M,-0.99%

MSTR,MICROSTRATEGY INC,143.50,-0.21,-0.15%,58.6,64.2K,+0.61%

MIDD,MIDDLEBY CORP,109.58,+0.75,+0.69%,18.1,321.4K,+0.05%

MSEX,MIDDLESEX WATER CO,61.43,+0.13,+0.21%,31.2,58.2K,-3.37%

MOFG,MIDWESTONE FINL GROUP,34.95,-0.37,-1.05%,12.9,64.5K,-3.53%

MLR,MILLER INDUSTRIES INC,35.93,-0.20,-0.55%,10.7,24.1K,-3.23%

MSA,MINE SAFETY APPLIANCES,130.87,+1.37,+1.06%,39.4,168.3K,+3.57%

MTX,MINERALS TECHNOLOGIES,55.83,-0.30,-0.53%,13.4,188.2K,-3.12%

MIND,MITCHAM INDUSTRIES INC,3.10,+0.12,+4.03%,NM,55.3K,+8.01%

MITK,MITEK SYS INC,7.99,-0.01,-0.12%,NM,262.7K,+4.44%

MKSI,MKS INSTRUMENTS INC,110.10,+1.94,+1.80%,35.6,424.0K,+0.08%

MINI,MOBILE MINI INC,38.53,+0.01,+0.03%,24.9,352.4K,+1.64%

MODN,MODEL N INC,34.31,+0.33,+0.97%,NM,426.7K,-2.17%

MOD,MODINE MANUFACTURING CO,7.40,-0.06,-0.80%,14.0,238.3K,-3.90%

MOH,MOLINA HEALTHCARE INC,143.43,-0.35,-0.24%,12.1,464.0K,+5.70%

MNTA,MOMENTA PHARMACEUTICALS,19.50,+0.01,+0.05%,NM,427.7K,-1.17%

MCRI,MONARCH CASINO & RESORT,51.45,-0.67,-1.29%,29.2,85.4K,+5.97%

MGI,MONEYGRAM INTERNATIONAL,2.19,-0.07,-3.10%,NM,1.1M,+4.29%

MNR,MONMOUTH REAL ESTATE,14.27,-0.07,-0.49%,118.8,263.4K,-1.45%

MPWR,MONOLITHIC POWER SYSTEM,178.72,+2.38,+1.35%,78.0,180.6K,+0.39%

MNRO,MONRO MUFFLER BRAKE INC,75.77,-1.71,-2.21%,32.0,164.0K,-3.11%

MOSY,MOSYS INC,1.92,+0.0791,+4.30%,NM,101.5K,+8.78%

MOV,MOVADO GROUP INC,20.38,-0.64,-3.04%,8.4,125.1K,-6.26%

MTSC,MTS SYSTEMS CORP,49.71,+1.20,+2.47%,22.5,158.1K,+3.50%

MLI,MUELLER INDUSTRIES INC,30.94,-0.06,-0.19%,17.6,124.5K,-2.55%

MWA,MUELLER WTR PRODS INC,11.93,-0.02,-0.17%,29.8,442.3K,-0.42%

MVC,MVC CAPITAL INC,9.28,0.00,0.00%,14.3,10.7K,+1.20%

MYE,MYERS INDUSTRIES INC,16.42,-0.03,-0.18%,26.5,97.2K,-1.56%

MYRG,MYR GROUP INC DEL,31.38,-0.12,-0.38%,14.8,64.9K,-3.71%

NATH,NATHANS FAMOUS INC NEW,72.77,+0.81,+1.13%,14.4,9.7K,+2.67%

NBHC,NATIONAL BANK HOLDINGS,36.18,+0.02,+0.06%,14.6,145.6K,+2.73%

NKSH,NATIONAL BANKSHARES INC,43.80,+0.77,+1.79%,17.0,5.5K,-2.52%

FIZZ,NATIONAL BEVERAGE CORP,46.41,-0.47,-1.00%,18.5,299.5K,-9.04%

NCMI,NATIONAL CINEMEDIA INC,7.82,+0.015,+0.19%,18.2,869.0K,+7.20%

NHI,NATIONAL HEALTH INVS IN,81.75,+0.65,+0.80%,22.8,178.1K,+0.33%

NHC,NATIONAL HEALTHCARE COR,87.00,-0.99,-1.13%,18.4,51.4K,+0.66%

NPK,NATIONAL PRESTO INDS IN,87.75,-1.47,-1.65%,19.1,57.7K,-0.72%

NWLI,NATIONAL WESTRN LIFE IN,287.09,-1.94,-0.67%,8.8,5.2K,-1.30%

NGS,NATURAL GAS SERVICES GR,12.34,-0.24,-1.91%,NM,32.0K,+0.65%

NGVC,NATURAL GROCERS VITA CT,9.75,+0.05,+0.52%,23.2,44.7K,-1.22%

NATR,NATURES SUNSHINE PRODS,9.53,+0.08,+0.85%,68.1,20.1K,+6.72%

NLS,NAUTILUS  INC,2.82,+0.64,+29.36%,NM,3.8M,+61.14%

NAVB,NAVIDEA BIOPHARMA INC,1.51,-0.01,-0.66%,NM,278.9K,+19.84%

NBTB,NBT BANCORP INC,40.31,+0.06,+0.15%,14.7,91.6K,-0.62%

NKTR,NEKTAR THERAPEUTICS,21.59,-0.17,-0.78%,NM,1.9M,+0.02%

NNI,NELNET INC,59.46,-0.59,-0.98%,19.8,70.2K,+2.09%

NEOG,NEOGEN CORP,65.34,+0.35,+0.54%,57.3,122.2K,+0.12%

NEO,NEOGENOMICS INC,29.65,+0.42,+1.44%,"1,482.5",675.9K,+1.37%

NEON,NEONODE INC,2.18,+0.106,+5.11%,NM,32.9K,+12.41%

NPTN,NEOPHOTONICS CORP,9.24,+0.03,+0.33%,NM,781.5K,+4.76%

NETE,NET ELEMENT INTL INC,3.46,-0.02,-0.57%,NM,33.4K,+7.79%

NTGR,NETGEAR INC,25.06,-0.30,-1.18%,30.6,259.8K,+2.24%

NTCT,NETSCOUT SYSTEMS INC,25.01,+0.18,+0.72%,NM,300.2K,+3.91%

NBIX,NEUROCRINE BIOSCIENCES,113.76,+2.47,+2.22%,517.1,842.5K,+5.83%

NJR,NEW JERSEY RESOURCES,42.52,-0.14,-0.33%,22.5,738.0K,-4.60%

NMFC,NEW MTN FIN CORP,13.81,-0.07,-0.50%,13.7,608.4K,+0.51%

NRZ,NEW RESIDENTIAL INVT,16.34,+0.09,+0.55%,20.9,6.9M,+1.43%

NYMT,NEW YORK MTG TR INC,6.23,+0.05,+0.81%,14.5,7.1M,0.00%

NYT,NEW YORK TIMES CO,31.52,-1.02,-3.13%,41.5,1.0M,-2.02%

NLNK,NEWLINK GENETICS CORP,2.19,+0.07,+3.30%,NM,667.3K,-13.44%

NXST,NEXSTAR BROADCASTING GR,123.17,-2.34,-1.86%,21.8,599.8K,+5.05%

EGOV,NIC INC,21.93,-0.10,-0.45%,29.2,321.8K,-1.88%

NICK,NICHOLAS FINANCIAL INC,8.31,-0.2237,-2.62%,NM,28.5K,+0.85%

NNBR,NN INC,8.53,-0.15,-1.73%,NM,244.6K,-7.78%

NAT,NORDIC AMERICAN TANKER,4.98,+0.12,+2.47%,NM,3.4M,+1.22%

NOG,NORTHERN OIL & GAS INC,2.14,+0.05,+2.39%,2.0,5.6M,-8.55%

NFBK,NORTHFIELD BANCORP INC,16.51,-0.125,-0.75%,19.4,75.0K,-2.65%

NRIM,NORTHRIM BANCORP INC,38.00,+0.20,+0.53%,12.5,14.3K,-0.78%

NWBI,NORTHWEST BANCSHARES IN,16.41,-0.11,-0.67%,15.5,550.2K,-1.32%

NWN,NORTHWEST NATURAL GAS C,71.15,-1.21,-1.67%,32.6,236.6K,-3.50%

NWPX,NORTHWEST PIPE CO,32.27,+0.38,+1.19%,19.6,84.7K,-3.12%

NWE,NORTHWESTERN CORP,70.79,+0.43,+0.61%,17.2,234.6K,-1.23%

NVAX,NOVAVAX INC,4.01,-0.27,-6.31%,NM,2.1M,+0.75%

NUVA,NUVASIVE INC,79.70,+0.58,+0.73%,88.6,673.2K,+3.05%

NES,NUVERRA ENVTL SOLUTIONS,2.90,+0.05,+1.75%,NM,4.6K,+0.17%

NVEC,NVE CORP,69.98,-0.44,-0.62%,24.8,8.1K,-1.99%

OCFC,OCEANFIRST FINANCIAL,25.45,+0.26,+1.03%,13.8,338.7K,-0.35%

OMEX,ODYSSEY MARINE EXPLOR,4.32,+0.17,+4.10%,NM,61.1K,+35.42%

OFG,OFG BANCORP,22.79,+0.15,+0.66%,16.0,345.5K,-3.47%

ODC,OIL DRI CORP OF AMERICA,36.46,+0.25,+0.69%,18.1,10.5K,+0.58%

OLN,OLIN CORP,16.53,-0.16,-0.96%,23.0,2.1M,-4.17%

ZEUS,OLYMPIC STEEL INC,17.68,-0.01,-0.06%,61.0,52.9K,-1.34%

OFLX,OMEGA FLEX INC,107.80,-0.78,-0.72%,61.3,13.6K,+0.48%

OMER,OMEROS CORP,13.58,+0.205,+1.53%,NM,1.8M,-3.66%

OMCL,OMNICELL INC,81.32,-0.34,-0.42%,63.5,242.4K,-0.49%

OMN,OMNOVA SOLUTIONS INC,10.11,-0.01,-0.10%,56.2,87.6K,0.00%

ASGN,ON ASSIGNMENT INC,70.64,+0.69,+0.99%,20.8,190.0K,-0.46%

OLP,ONE LIBERTY PROPERTIES,27.44,+0.02,+0.07%,43.6,30.2K,+0.92%

OPY,OPPENHEIMER HOLDINGS IN,27.88,-0.31,-1.10%,10.8,38.8K,+1.46%

OSUR,ORASURE TECHNOLOGIES IN,7.85,-0.04,-0.51%,20.1,263.1K,-2.24%

ORBC,ORBCOMM INC,4.18,+0.06,+1.46%,NM,925.5K,-0.71%

ORN,ORION MARINE GROUP INC,5.05,+0.09,+1.81%,NM,76.0K,-2.70%

ORA,ORMAT TECHNOLOGIES INC,75.68,+0.71,+0.95%,41.1,149.2K,+1.56%

OFIX,ORTHOFIX INTL N V,46.71,+0.42,+0.91%,NM,100.8K,+1.15%

OSIS,OSI SYSTEMS INC,101.17,+1.23,+1.23%,24.9,141.0K,+0.43%

OTTR,OTTER TAIL CORP,51.45,+0.32,+0.63%,25.5,63.8K,+0.31%

OSTK,OVERSTOCK COM INC,8.12,+0.235,+2.98%,NM,2.0M,+15.18%

OMI,OWENS & MINOR INC,5.01,-0.03,-0.60%,NM,1.0M,-3.09%

OXM,OXFORD INDUSTRIES INC,72.42,-3.17,-4.19%,17.5,194.3K,-3.98%

PACB,PACIFIC BIOSCIENCES CA,4.64,-0.065,-1.38%,NM,5.5M,-9.63%

PPBI,PACIFIC PREMIER BANCORP,31.79,+0.02,+0.06%,12.4,177.1K,-2.50%

PCRX,PACIRA PHARMACEUTICALS,42.90,-0.20,-0.46%,858.0,1.1M,-5.30%

PACW,PACWEST BANCORP,37.00,-0.31,-0.83%,9.6,687.8K,-3.32%

PHX,PANHANDLE OIL AND GAS,9.86,-0.56,-5.37%,NM,51.8K,-12.04%

PZZA,PAPA JOHNS INTERNATIONA,65.28,+0.72,+1.12%,NM,443.7K,+3.37%

PZG,PARAMOUNT GOLD & SILVER,0.77,-0.0081,-1.04%,NM,11.5K,-0.18%

PKE,PARK ELECTROCHEMICAL,16.72,+0.23,+1.39%,40.8,241.6K,+2.77%

PRK,PARK NATIONAL CORP,101.59,-0.66,-0.65%,15.6,26.0K,-0.77%

PKOH,PARK OHIO HOLDINGS CORP,35.25,+0.23,+0.66%,9.5,58.7K,+4.75%

PKD,PARKER DRILLING CO,19.61,-0.46,-2.29%,NM,22.1K,-12.84%

PATK,PATRICK INDS INC,52.37,-0.33,-0.63%,12.6,169.8K,-0.11%

PCTI,PC-TEL INC,8.47,-0.08,-0.94%,NM,57.4K,0.00%

PDCE,PDC ENERGY INC,25.46,-0.94,-3.56%,11.8,2.3M,-2.71%

PDFS,PDF SOLUTIONS INC,17.15,-0.05,-0.29%,NM,110.3K,+1.54%

PDLI,PDL BIOPHARMA INC,3.14,+0.06,+1.95%,NM,826.2K,-3.24%

PGC,PEAPACK-GLADSTONE FINL,30.26,-0.24,-0.79%,12.8,36.7K,-2.07%

PEB,PEBBLEBROOK HOTEL TRUST,25.77,+0.01,+0.04%,NM,2.0M,-3.88%

PEGA,PEGASYSTEMS INC,81.92,+0.95,+1.17%,NM,238.9K,+2.85%

PFLT,PENNANTPARK FLOATING,12.40,+0.03,+0.24%,42.8,126.3K,+1.81%

PNNT,PENNANTPARK INVT CORP,6.54,0.00,0.00%,27.3,156.9K,+0.15%

PWOD,PENNS WOODS BANCORP INC,33.64,+0.14,+0.42%,18.5,8.5K,-5.40%

PEI,PENNSYLVANIA REAL ESTAT,5.03,-0.06,-1.18%,NM,761.7K,-5.63%

PFSI,PENNYMAC FINL SVCS INC,33.68,+0.54,+1.63%,9.2,345.8K,-1.06%

PMT,PENNYMAC MORTGAGE INV,22.64,+0.20,+0.89%,9.2,941.5K,+1.57%

PAG,PENSKE AUTOMOTIVE GROUP,47.63,-0.69,-1.43%,9.2,309.8K,-5.16%

PEBO,PEOPLES BANCORP INC,34.00,-0.16,-0.47%,12.9,28.8K,-1.90%

PBY,PEP BOYS MANNY MOE&J,26.01,-0.21,-0.80%,--,3.1K,+0.65%

PRFT,PERFICIENT INC,47.20,+0.51,+1.09%,46.3,333.1K,+2.45%

PFMT,PERFORMANT FINANCIAL CO,1.16,+0.05,+4.50%,NM,2.2K,+13.73%

PETS,PETMED EXPRESS INC,23.69,-0.06,-0.25%,18.2,526.2K,+0.72%

PLAB,PHOTRONICS INC,15.08,-0.08,-0.53%,34.3,941.6K,-4.31%

PICO,PICO HOLDINGS INC,10.38,-0.30,-2.81%,30.6,51.8K,-6.65%

PIR,PIER 1 IMPORTS INC,3.76,-0.12,-3.09%,NM,419.9K,-41.25%

PPC,PILGRIMS PRIDE CORP NEW,30.81,-0.13,-0.42%,21.5,569.3K,-5.82%

PNFP,PINNACLE FINANCIAL,62.97,-0.16,-0.25%,12.1,202.3K,-1.61%

PLT,PLANTRONICS INC,30.45,+1.09,+3.71%,NM,606.6K,+11.38%

PLXS,PLEXUS CORP,77.15,+0.29,+0.38%,22.0,106.9K,+0.27%

PNM,PNM RESOURCES INC,48.92,-0.07,-0.14%,NM,1.0M,-3.53%

POL,POLYONE CORP,35.06,+0.13,+0.37%,19.6,432.3K,-4.70%

POOL,POOL CORP,214.51,+0.41,+0.19%,33.6,170.4K,+1.00%

PRAA,PORTFOLIO RECOVERY ASSO,36.84,+0.175,+0.48%,22.7,214.2K,+1.47%

POR,PORTLAND GEN ELEC CO,55.64,+0.45,+0.82%,24.7,481.1K,-0.27%

PTLA,PORTOLA PHARMACEUTICALS,24.74,+0.78,+3.26%,NM,2.7M,+3.60%

POST,POST HOLDINGS INC,108.06,-0.23,-0.21%,65.1,395.1K,-0.95%

PCH,POTLATCH CORP,43.61,+0.33,+0.76%,71.5,139.6K,+0.79%

POWL,POWELL INDUSTRIES INC,47.57,-0.55,-1.14%,56.0,89.8K,-2.90%

POWI,POWER INTEGRATIONS INC,101.97,+1.62,+1.61%,52.6,92.2K,+3.09%

PFBC,PREFERRED BANK,58.58,-0.005,-0.01%,11.6,63.4K,-2.52%

PLPC,PREFORMED LINE PRODUCTS,59.64,-0.36,-0.60%,13.3,6.8K,-1.18%

PBH,PRESTIGE BRANDS HOLDING,38.77,-0.58,-1.47%,NM,289.4K,-4.27%

PRGX,PRGX GLOBAL INC,4.34,+0.04,+0.93%,NM,88.1K,-11.79%

PSMT,PRICESMART INC,67.89,-1.02,-1.48%,28.3,242.7K,-4.41%

PRI,PRIMERICA INC,130.87,+1.17,+0.90%,15.6,124.4K,+0.24%

PRIM,PRIMORIS SVCS CORP,21.51,-0.20,-0.92%,12.6,76.9K,-3.28%

PGNX,PROGENICS PHARMACEUTICA,4.87,-0.23,-4.51%,NM,569.4K,-4.32%

PRGS,PROGRESS SOFTWARE CORP,42.56,+0.07,+0.16%,35.8,169.8K,+2.43%

PFPT,PROOFPOINT INC,121.87,-1.98,-1.60%,NM,1.4M,+6.18%

PRO,PROS HOLDINGS INC,65.33,+0.69,+1.07%,NM,191.4K,+9.03%

PSEC,PROSPECT CAPITAL CORP,6.47,+0.01,+0.15%,30.8,1.5M,+0.47%

PRTA,PROTHENA CORP PLC,15.77,+0.39,+2.54%,NM,180.6K,-0.38%

PRLB,PROTO LABS INC,101.62,+0.22,+0.22%,40.6,95.4K,+0.07%

PRSC,PROVIDENCE SERVICE CORP,62.41,+2.08,+3.45%,NM,92.5K,+5.46%

PFS,PROVIDENT FINANCIAL SVC,24.15,-0.26,-1.07%,12.8,235.5K,-2.03%

PROV,PROVIDENT FINL HLDGS IN,21.88,+0.07,+0.32%,32.7,2.7K,-0.09%

PSB,PS BUSINESS PARKS INC,164.46,+0.75,+0.46%,43.3,91.6K,-0.25%

PCYO,PURECYCLE CORP,12.58,+0.02,+0.16%,30.7,55.8K,-0.08%

PZN,PZENA INVESTMENT MGMT,8.60,+0.05,+0.58%,12.3,109.7K,-0.23%

QADA,QAD INC,51.32,+0.13,+0.25%,NM,43.8K,+0.77%

QUAD,QUAD / GRAPHICS INC,4.96,-0.06,-1.20%,NM,301.9K,+6.21%

KWR,QUAKER CHEMICAL CORP,165.30,-0.12,-0.07%,96.2,94.9K,+0.47%

QLYS,QUALYS INC,84.08,+0.03,+0.04%,55.3,306.0K,+0.85%

QDEL,QUIDEL CORP,76.15,-1.11,-1.44%,42.3,212.2K,+1.49%

QNST,QUINSTREET INC,14.68,-0.10,-0.68%,13.3,287.4K,-4.11%

RDN,RADIAN GROUP INC,24.88,+0.39,+1.59%,8.2,1.5M,-1.11%

RMBS,RAMBUS INC,14.19,+0.40,+2.90%,NM,1.2M,+3.01%

RPT,RAMCO-GERSHENSON PPTYS,14.23,-0.20,-1.39%,158.1,346.1K,-5.39%

RAVN,RAVEN INDUSTRIES INC,33.81,+0.08,+0.24%,35.3,322.4K,-1.89%

ROLL,RBC BEARINGS INC,166.13,-1.01,-0.60%,37.7,125.3K,+4.92%

RDI,READING INTERNATIONAL,11.09,+0.36,+3.36%,42.7,46.8K,-0.89%

RNWK,REALNETWORKS INC,1.36,+0.02,+1.49%,NM,39.1K,+13.33%

RRGB,RED ROBIN GOURMET BURGE,33.55,+0.68,+2.07%,NM,144.9K,+1.61%

RWT,REDWOOD TRUST INC,16.93,+0.10,+0.59%,15.0,515.5K,+2.36%

RGS,REGIS CORP,16.82,+0.27,+1.63%,NM,391.3K,-5.88%

RGLS,REGULUS THERAPEUTICS,1.21,-0.30,-19.87%,NM,1.9M,+35.96%

RNST,RENASANT CORP,34.67,-0.14,-0.40%,11.7,116.7K,-2.12%

REGI,RENEWABLE ENER GROUP IN,25.31,+0.12,+0.48%,NM,684.4K,-6.09%

RCII,RENT A CENTER INC,29.04,+0.15,+0.52%,12.0,439.9K,+0.69%

RGEN,REPLIGEN CORP,96.41,+1.28,+1.35%,192.8,341.3K,+4.23%

RFP,RESOLUTE FOREST PRODUCT,4.03,-0.04,-0.98%,6.3,269.6K,-4.05%

RECN,RESOURCES CONNECTION,16.24,-0.265,-1.61%,15.9,214.6K,-0.58%

ROIC,RETAIL OPPORTUNITY INVT,16.76,-0.22,-1.30%,38.1,1.4M,-5.10%

REV,REVLON INC,20.83,+0.26,+1.26%,NM,33.7K,-2.75%

REX,REX AMERICAN RESOURCES,78.30,+1.05,+1.36%,118.6,51.6K,-4.47%

RXN,REXNORD CORP NEW,32.73,+0.16,+0.49%,19.6,649.8K,+0.34%

RELL,RICHARDSON ELECTRONICS,5.65,-0.53,-8.64%,NM,184.5K,+0.36%

RIGL,RIGEL PHARMACEUTICALS,2.16,0.00,0.00%,NM,923.5K,+0.93%

RNET,RIGNET INC,6.02,-0.18,-2.90%,NM,44.8K,-8.79%

RAD,RITE AID CORP,12.69,-0.46,-3.50%,NM,7.1M,-17.97%

RLI,RLI CORP,90.62,+1.22,+1.36%,35.0,129.8K,+0.67%

RLJ,RLJ LODGING TR,16.57,-0.26,-1.54%,30.1,1.9M,-6.49%

RRTS,ROADRUNNER TRNSN SVCS,8.10,-0.03,-0.37%,NM,14.2K,-12.05%

RMTI,ROCKWELL MEDICAL INC,2.32,+0.02,+0.87%,NM,99.5K,-4.92%

ROG,ROGERS CORP,134.08,+3.35,+2.56%,24.9,192.5K,+7.50%

ROSE,ROSETTA RESOURCES INC,1.20,-0.17,-12.41%,0.3,109.2K,-6.25%

RST,ROSETTA STONE INC,18.35,-0.40,-2.13%,NM,66.3K,+1.16%

RTIX,RTI BIOLOGICS INC,2.62,-0.03,-1.13%,NM,78.9K,-4.38%

RBCN,RUBICON TECHNOLOGY INC,8.56,+0.0383,+0.45%,NM,6.0K,+2.88%

RUTH,RUTH'S HOSPITALITY GROUP,22.06,-0.14,-0.63%,15.4,172.2K,+1.36%

RHP,RYMAN HOSPITALITY PPTYS,84.42,-0.18,-0.21%,16.8,350.0K,-2.58%

STBA,S & T BANCORP INC,40.28,-0.035,-0.09%,13.5,138.1K,-0.01%

SYBT,S Y BANCORP INC,40.75,+0.015,+0.04%,14.6,28.2K,-0.75%

SBRA,SABRA HEALTH CARE REIT,21.23,-0.01,-0.05%,424.6,1.0M,-0.52%

SFE,SAFEGUARD SCIENTIFICS,10.78,+0.10,+0.94%,5.8,43.1K,-1.82%

SAFT,SAFETY INSURANCE GRP IN,93.93,-0.08,-0.09%,16.1,66.7K,+1.51%

SAIA,SAIA INC,91.31,+2.16,+2.42%,20.5,457.8K,-1.94%

SALM,SALEM COMMUNICATIONS,1.56,-0.17,-9.83%,NM,153.7K,+8.33%

SAFM,SANDERSON FARMS INC,168.70,-3.22,-1.87%,70.0,349.6K,-4.27%

SASR,SANDY SPRING BANCORP,37.59,+0.085,+0.23%,11.9,225.1K,-0.78%

JBSS,SANFILIPPO JOHN B & SON,88.83,+0.07,+0.08%,22.3,138.2K,-2.68%

SGMO,SANGAMO BIOSCIENCES INC,8.49,+0.155,+1.86%,NM,1.2M,+1.49%

SANM,SANMINA CORPORATION,34.06,-0.06,-0.18%,17.3,267.2K,-0.53%

SPNS,SAPIENS INTL CORP N V,25.39,+0.38,+1.52%,57.7,65.4K,+10.39%

SRPT,SAREPTA THERAPEUTICS IN,131.64,+1.61,+1.24%,NM,780.2K,+2.01%

BFS,SAUL CENTERS INC,51.94,-0.50,-0.95%,30.4,64.6K,-1.59%

SCSC,SCANSOURCE INC,35.94,-0.07,-0.19%,16.9,70.5K,-2.73%

SCHN,SCHNITZER STEEL INDS,21.11,-0.56,-2.58%,10.5,445.1K,-2.63%

