Oznaka,Ime_podjetja,Cena,Sprememba_cene,Sprememba_v_odstotkih,PE_razmerje,Stevilo_delnic,Sprememba_do_danes
SCHL,SCHOLASTIC CORP,37.09,-0.45,-1.20%,75.7,145.4K,-3.54%

SWM,SCHWEITZER-MAUDUIT INTL,37.61,-0.85,-2.21%,16.0,214.4K,-10.43%

SGMS,SCIENTIFIC GAMES CORP,28.28,-0.70,-2.42%,21.1,437.5K,+5.60%

STNG,SCORPIO TANKERS INC,38.38,+1.54,+4.18%,NM,1.5M,-2.44%

SEB,SEABOARD CORP,"4,197.37",+19.37,+0.46%,272.6,331.00,-1.25%

SEAC,SEACHANGE INTERNATIONAL,3.88,-0.08,-2.02%,NM,392.6K,-7.40%

SBCF,SEACOAST BANKING CORP F,30.45,+0.38,+1.26%,18.0,284.5K,-0.39%

CKH,SEACOR HOLDINGS INC,42.03,-0.09,-0.21%,32.8,66.2K,-2.60%

SEM,SELECT MEDICAL HOLDINGS,23.08,+0.12,+0.52%,22.2,703.2K,-1.11%

SIGI,SELECTIVE INSURANCE GRP,66.85,+0.70,+1.06%,17.0,166.8K,+2.55%

SMTC,SEMTECH CORP,53.16,+0.215,+0.41%,72.8,387.3K,+0.49%

SXT,SENSIENT TECHNOLOGIES,63.05,-0.32,-0.50%,20.2,202.9K,-4.60%

SREV,SERVICESOURCE INTL LLC,1.70,+0.01,+0.59%,NM,101.9K,+1.80%

SHEN,SHENANDOAH TELECOMM CO,43.12,+0.96,+2.28%,38.2,394.2K,+3.63%

SHLO,SHILOH INDUSTRIES INC,3.26,-0.09,-2.69%,NM,74.1K,-8.43%

SFL,SHIP FINANCE INTL,14.76,+0.36,+2.50%,17.2,713.4K,+1.51%

SCVL,SHOE CARNIVAL INC,37.52,+0.21,+0.56%,13.7,230.3K,+0.63%

SSTK,SHUTTERSTOCK INC,43.19,-0.20,-0.46%,50.2,101.1K,+0.72%

BSRR,SIERRA BANCORP,28.26,-0.25,-0.88%,12.6,19.4K,-2.95%

SIGA,SIGA TECHNOLOGIES INC,5.09,-0.05,-0.97%,9.1,187.0K,+6.71%

SFNC,SIMMONS FIRST NATIONAL,26.42,+0.03,+0.11%,10.4,545.3K,-1.40%

SSD,SIMPSON MANUFACTURING,81.67,-0.01,-0.01%,30.9,156.1K,+1.79%

SBGI,SINCLAIR BROADCAST GROU,31.21,-0.67,-2.10%,14.9,994.8K,-6.39%

SJW,SJW CORP,68.59,+0.49,+0.72%,49.7,180.6K,-3.48%

SKX,SKECHERS U S A INC,42.83,+0.11,+0.26%,19.8,1.3M,-0.83%

SKYW,SKYWEST INC,64.68,+0.47,+0.73%,10.0,183.8K,+0.08%

SLRC,SOLAR CAPITAL LTD,20.70,+0.03,+0.15%,13.0,98.9K,+0.39%

SUNS,SOLAR SENIOR CAP LTD,17.71,+0.03,+0.17%,19.7,46.6K,+0.62%

SAH,SONIC AUTOMOTIVE INC,29.10,-0.59,-1.99%,10.5,295.2K,-6.13%

SJI,SOUTH JERSEY INDUSTRIES,30.92,-0.25,-0.80%,32.2,622.7K,-6.25%

SBSI,SOUTHSIDE BANCSHARES IN,36.96,-0.02,-0.05%,16.9,64.9K,-0.48%

SWX,SOUTHWEST GAS CORP,75.42,+0.30,+0.40%,20.8,283.7K,-0.72%

LOV,SPARK NETWORKS INC,4.53,-0.06,-1.31%,NM,154.7K,0.00%

SPAR,SPARTAN MOTORS INC,17.62,+0.13,+0.74%,36.0,309.4K,-2.54%

SPTN,SPARTAN STORES INC,13.35,-0.28,-2.05%,NM,191.1K,-6.25%

SPB,SPECTRUM BRANDS HOLDING,62.80,-0.37,-0.59%,NM,402.5K,-2.32%

SPPI,SPECTRUM PHARMACEUTICAL,3.26,-0.02,-0.61%,NM,2.9M,-10.44%

SRC,SPIRIT RLTY CAP INC,49.06,-0.22,-0.45%,20.0,1.2M,-0.24%

SPSC,SPS COMM INC,56.22,+0.12,+0.21%,63.9,120.6K,+1.44%

SSNC,SS&C TECHNOLOGIES HLDGS,63.14,+1.08,+1.74%,46.8,1.4M,+2.83%

STAA,STAAR SURGICAL CO,35.41,+0.60,+1.72%,196.7,236.9K,+0.68%

STAG,STAG INDL INC,31.50,+0.01,+0.03%,49.2,668.1K,-0.22%

SSI,STAGE STORES INC,8.13,-0.50,-5.79%,NM,1.5M,+0.12%

STMP,STAMPS COM INC,82.14,-0.52,-0.63%,18.3,226.0K,-1.65%

SMP,STANDARD MOTOR PRODUCTS,52.88,-0.69,-1.29%,17.6,69.8K,-0.64%

SXI,STANDEX INTERNATIONAL,77.24,-0.50,-0.64%,21.3,45.9K,-2.66%

STFC,STATE AUTO FINANCIAL,30.77,+0.03,+0.10%,45.3,33.0K,-0.81%

SCS,STEELCASE INC,19.49,-0.52,-2.60%,15.1,949.8K,-4.74%

SMRT,STEIN MART INC,0.67,+0.0002,+0.03%,NM,135.6K,+0.63%

SCM,STELLUS CAP INVT CORP,14.38,-0.02,-0.14%,9.5,93.4K,+1.05%

STML,STEMLINE THERAPEUTICS,10.25,-0.18,-1.73%,NM,238.7K,-3.57%

SCL,STEPAN CO,101.74,-1.34,-1.30%,22.3,120.3K,-0.68%

STE,STERIS CORP,151.78,+0.83,+0.55%,38.6,644.1K,-0.42%

STL,STERLING BANCORP,20.80,+0.15,+0.73%,10.3,1.1M,-1.33%

STRL,STERLING CONSTRUCTION C,14.13,-0.22,-1.53%,16.2,65.9K,+0.36%

STSA,STERLING FINL CORP WASH,18.75,+0.06,+0.32%,NM,129.5K,-4.73%

STC,STEWART INFORMATION,40.72,-0.03,-0.07%,10.7,105.7K,-0.17%

SRI,STONERIDGE INC,29.80,0.00,0.00%,12.5,278.2K,+1.64%

STRA,STRAYER EDUCATION INC,159.52,+1.21,+0.76%,37.5,63.9K,+0.39%

RGR,STURM RUGER & CO INC,48.73,-0.47,-0.96%,23.7,169.9K,+3.61%

INN,SUMMIT HOTEL PROPER,11.89,-0.06,-0.50%,19.2,1.8M,-3.65%

SUI,SUN COMMUNITIES INC,147.91,-0.06,-0.04%,93.0,676.4K,-1.46%

SXC,SUNCOKE ENERGY INC,6.16,-0.21,-3.30%,NM,652.1K,-1.12%

SNSS,SUNESIS PHARMACEUTICALS,0.40,+0.0076,+1.94%,NM,1.5M,+18.39%

SPWR,SUNPOWER CORP,7.89,+0.215,+2.80%,NM,2.4M,+1.15%

SHO,SUNSTONE HOTEL INVS INC,13.17,-0.21,-1.57%,19.4,3.8M,-5.39%

SUP,SUPERIOR INDUSTRIES INT,3.37,-0.04,-1.17%,NM,195.2K,-8.67%

SUPN,SUPERNUS PHARMACEUTICAL,23.65,-0.065,-0.27%,12.1,266.9K,-0.32%

SPRT,SUPPORT.COM INC,1.38,+0.11,+8.66%,6.3,314.1K,+26.61%

SRDX,SURMODICS INC,40.66,0.00,0.00%,73.9,59.9K,-1.86%

SFY,SWIFT ENERGY CO,11.41,+0.081,+0.71%,--,32.1K,+1.60%

SYKE,SYKES ENTERPRISES INC,35.83,+0.275,+0.77%,26.0,256.5K,-3.15%

SYNA,SYNAPTICS INC,68.98,-0.40,-0.58%,NM,645.5K,+4.88%

SNCR,SYNCHRONOSS TECHNOLOGY,5.87,-0.08,-1.34%,NM,276.6K,+23.58%

SNX,SYNNEX CORP,128.84,+1.89,+1.49%,14.5,589.0K,+0.03%

SYX,SYSTEMAX INC,24.96,-0.07,-0.28%,18.5,31.2K,-0.79%

TTWO,TAKE-TWO INTERACTIVE,128.02,+0.20,+0.16%,41.3,804.3K,+4.57%

TAL,TAL INTERNATIONAL GROUP,53.61,+1.94,+3.75%,160.8,3.2M,+11.22%

TRGP,TARGA RESOURCES INC,40.36,+0.77,+1.94%,NM,2.5M,-1.15%

TCPC,TCP CAP CORP,14.06,-0.02,-0.14%,27.0,269.1K,+0.07%

TISI,TEAM INC,15.30,-0.33,-2.11%,NM,127.1K,-4.20%

TTGT,TECHTARGET INC,25.02,-0.35,-1.38%,46.3,132.0K,-4.14%

TNK,TEEKAY TANKERS LTD,24.87,+1.20,+5.07%,NM,999.7K,+3.75%

TRC,TEJON RANCH CO,15.86,-0.11,-0.69%,396.5,67.8K,-0.75%

TDY,TELEDYNE TECHNOLOGIES,366.10,+4.55,+1.26%,36.2,186.5K,+5.64%

TNAV,TELENAV INC,4.48,+0.07,+1.59%,NM,271.6K,-7.82%

TTEC,TELETECH HOLDINGS INC,40.77,+1.01,+2.54%,27.4,127.2K,+2.90%

TNC,TENNANT CO,80.24,+0.80,+1.01%,34.8,68.1K,+2.98%

TEN,TENNECO INC,10.26,-0.79,-7.15%,NM,3.9M,-21.68%

TRNO,TERRENO REALTY CORP,54.42,+0.20,+0.37%,53.9,223.3K,+0.52%

TBNK,TERRITORIAL BANCORP INC,30.26,-0.18,-0.59%,13.2,12.1K,-2.20%

TESS,TESSCO TECHNOLOGIES INC,10.86,+0.06,+0.56%,120.7,47.8K,-3.21%

TTEK,TETRA TECH INC,87.26,+0.94,+1.09%,30.7,170.9K,+1.28%

TTI,TETRA TECHNOLOGIES INC,1.73,-0.07,-3.89%,NM,715.3K,-11.73%

TTPH,TETRAPHASE PHARMA INC,2.75,-0.01,-0.36%,NM,50.5K,-2.14%

TCBI,TEXAS CAPITAL BANCSHARE,57.30,+0.465,+0.82%,9.3,480.3K,+0.93%

TXRH,TEXAS ROADHOUSE INC,55.85,+0.05,+0.09%,24.6,990.2K,-0.83%

TGH,TEXTAINER GROUP HLDGS,10.69,-0.05,-0.47%,15.3,145.8K,-0.19%

TGTX,TG THERAPEUTICS INC,13.03,+0.85,+6.98%,NM,2.9M,+17.39%

THR,THERMON GROUP HLDGS INC,26.53,+0.04,+0.15%,35.4,98.9K,-1.01%

TCRD,THL CR INC,6.38,+0.02,+0.31%,NM,66.0K,+1.11%

THOR,THORATEC CORP,69.48,-0.43,-0.62%,NM,252.9K,-0.59%

TLYS,TILLYS INC,11.97,-0.09,-0.75%,14.3,336.6K,-2.29%

TWI,TITAN INTERNATIONAL INC,3.87,-0.08,-2.03%,NM,321.7K,+6.91%

TITN,TITAN MACHINERY INC,14.22,-0.23,-1.59%,28.4,108.3K,-3.79%

TIVO,TIVO INC,8.18,-0.04,-0.49%,NM,1.1M,-3.54%

TMP,TOMPKINS FINANCIAL CORP,91.15,-0.06,-0.07%,17.5,35.1K,-0.38%

TRNX,TORNIER N V,1.07,-0.09,-7.76%,0.1,2.1M,+17.95%

CLUB,TOWN SPORTS INTL,2.52,-0.02,-0.79%,NM,168.3K,+47.37%

TOWN,TOWNEBANK PORTSMOUTH VA,27.81,+0.155,+0.56%,14.3,105.9K,-0.05%

TWMC,TRANS WORLD ENTMT CORP,2.24,-0.21,-8.57%,NM,11.9K,+11.44%

TZOO,TRAVELZOO INC,10.80,-0.14,-1.28%,21.2,50.1K,+0.93%

TREE,TREE.COM INC,305.64,+1.32,+0.43%,112.4,101.3K,+0.73%

THS,TREEHOUSE FOODS INC,46.44,-0.21,-0.45%,NM,249.6K,-4.25%

TREX,TREX INC,96.92,+2.53,+2.68%,42.3,508.0K,+7.83%

TPH,TRI POINTE HOMES INC,15.71,-0.04,-0.25%,12.0,1.6M,+0.83%

TCBK,TRICO BANCSHARES,39.78,-0.25,-0.62%,13.1,40.0K,-2.52%

TRS,TRIMAS CORP,31.28,-0.06,-0.19%,18.6,101.6K,-0.41%

GTS,TRIPLE-S MANAGEMENT COR,17.65,-1.17,-6.22%,5.7,490.0K,-4.54%

TSC,TRISTATE CAP HLDGS INC,25.64,-0.055,-0.21%,13.2,42.0K,-1.86%

TBI,TRUEBLUE INC,23.11,-0.13,-0.56%,13.2,180.2K,-3.95%

TRST,TRUSTCO BANK CORP NY,8.50,+0.01,+0.12%,13.7,174.1K,-1.96%

TRMK,TRUSTMARK CORP,33.89,-0.085,-0.25%,14.5,127.0K,-1.81%

TTMI,TTM TECHNOLOGIES INC,15.02,+0.04,+0.27%,27.3,497.0K,-0.20%

TUES,TUESDAY MORNING CORP,1.77,-0.035,-1.94%,NM,29.7K,-4.59%

TPC,TUTOR PERINI CORP,12.04,+0.04,+0.33%,NM,438.7K,-6.38%

TWIN,TWIN DISC INC,11.40,-0.02,-0.18%,103.6,38.9K,+3.45%

TYL,TYLER TECHNOLOGIES INC,311.39,+0.40,+0.13%,94.4,334.6K,+3.79%

USCR,U S CONCRETE INC,41.38,+0.18,+0.44%,52.4,175.5K,-0.67%

USPH,U S PHYSICAL THERAPY IN,113.56,-0.95,-0.83%,48.7,69.3K,-0.69%

SLCA,U S SILICA HLDGS INC,5.73,-0.04,-0.69%,NM,1.2M,-6.83%

UFPT,UFP TECHNOLOGIES INC,47.90,-0.45,-0.93%,19.5,30.4K,-3.45%

UCTT,ULTRA CLEAN HOLDINGS IN,22.31,-0.01,-0.04%,NM,336.4K,-4.94%

UMBF,UMB FINANCIAL CORP,67.68,+0.54,+0.80%,16.3,109.7K,-1.40%

UMH,UMH PROPERTIES INC,15.76,+0.25,+1.61%,NM,174.5K,+0.19%

UMPQ,UMPQUA HOLDINGS CORP,18.07,+0.05,+0.28%,11.4,1.2M,+2.09%

UFI,UNIFI INC,24.97,-0.42,-1.65%,108.6,87.2K,-1.15%

UNF,UNIFIRST CORP MASS,207.53,-8.70,-4.02%,22.2,142.9K,+2.75%

UIS,UNISYS CORP,11.92,+0.16,+1.36%,41.1,331.7K,+0.51%

UBSI,UNITED BANKSHARES INC,37.51,-0.10,-0.27%,14.7,283.0K,-2.97%

UCFC,UNITED CMNTY FINL CO,11.51,+0.05,+0.44%,14.4,42.3K,-1.29%

UCBI,UNITED COMMUNITY BANKS,30.36,+0.11,+0.36%,13.4,483.4K,-1.68%

UFCS,UNITED FIRE GROUP INC,44.06,+0.09,+0.20%,129.6,41.7K,+0.75%

USLM,UNITED STATES LIME & MI,90.17,-0.03,-0.03%,20.0,2.7K,-0.14%

UTL,UNITIL CORP,60.61,+0.03,+0.05%,20.6,100.3K,-1.96%

UVV,UNIVERSAL CORP,57.38,+1.10,+1.93%,16.4,190.8K,+0.56%

OLED,UNIVERSAL DISPLAY CORP,218.05,+3.62,+1.69%,78.7,584.6K,+5.81%

UEIC,UNIVERSAL ELECTRONICS,50.84,-0.25,-0.49%,NM,77.2K,-2.72%

UFPI,UNIVERSAL FOREST PRODS,48.07,+0.62,+1.31%,17.2,386.3K,+0.78%

UHT,UNIVERSAL HEALTH REALTY,114.78,-0.06,-0.05%,90.5,29.0K,-2.20%

UVE,UNIVERSAL INSURANCE,26.34,+0.19,+0.73%,10.0,461.1K,-5.89%

USAP,UNIVERSAL STAINLESS & A,14.50,-0.29,-1.96%,29.0,18.3K,-2.68%

UTI,UNIVERSAL TECHNICAL INS,7.52,+0.07,+0.94%,NM,94.8K,-2.46%

UVSP,UNIVEST CORP OF PENN,26.56,+0.01,+0.04%,11.4,76.4K,-0.82%

URG,UR ENERGY INC,0.55,-0.0096,-1.71%,NM,330.7K,-6.46%

UEC,URANIUM ENERGY CORP,0.90,-0.0109,-1.19%,NM,383.5K,-1.71%

UBA,URSTADT BIDDLE PPTYS IN,24.11,-0.17,-0.70%,37.7,93.6K,-2.94%

ECOL,US ECOLOGY INC,55.73,-0.33,-0.59%,24.3,164.6K,-3.76%

USNA,USANA HEALTH SCIENCES,81.54,+0.09,+0.11%,18.8,94.8K,+3.81%

UTMD,UTAH MED PRODS INC,102.59,-0.10,-0.10%,27.9,10.1K,-4.92%

EGY,VAALCO ENERGY INC,2.54,+0.22,+9.48%,25.4,485.0K,+14.41%

MTN,VAIL RESORTS INC,253.06,+4.32,+1.74%,34.5,684.3K,+5.52%

VNDA,VANDA PHARMACEUTICALS,16.25,-0.55,-3.27%,7.3,370.9K,-1.01%

VGR,VECTOR GROUP LTD,13.54,+0.19,+1.42%,19.6,702.7K,+1.12%

VECO,VEECO INSTRUMENTS INC,14.75,-0.13,-0.87%,NM,322.6K,+0.44%

VRA,VERA BRADLEY INC,11.25,-0.185,-1.62%,32.1,262.6K,-4.70%

VSTM,VERASTEM INC,1.80,+0.08,+4.65%,NM,10.6M,+34.33%

VRNT,VERINT SYS INC,57.68,+0.60,+1.05%,75.9,225.6K,+4.19%

VVI,VIAD CORP,65.82,-0.63,-0.95%,56.7,91.5K,-2.49%

VSAT,VIASAT INC,70.58,+0.30,+0.43%,NM,387.8K,-3.57%

VICR,VICOR CORP,51.43,+0.15,+0.29%,107.1,220.2K,+10.08%

VHC,VIRNETX HOLDING CORP,4.06,-0.05,-1.22%,NM,266.3K,+6.84%

VRTS,VIRTUS INVESTMENT PTNRS,124.70,+0.60,+0.48%,13.8,64.4K,+2.45%

VRTU,VIRTUSA CORP,41.25,-0.31,-0.75%,43.0,278.6K,-9.00%

VPG,VISHAY PRECISION GROUP,33.48,+0.26,+0.78%,20.9,33.9K,-1.53%

VVUS,VIVUS INC,2.81,-0.01,-0.35%,NM,32.6K,+3.31%

VCRA,VOCERA COMMUNICATIONS,20.55,-0.87,-4.06%,NM,328.2K,-1.01%

VOXX,VOXX INTERNATIONAL CORP,4.79,+0.14,+3.01%,NM,72.7K,+9.36%

VSEC,VSE CORP,35.97,-0.85,-2.31%,11.0,13.2K,-5.44%

WTI,W&T OFFSHORE INC,5.29,-0.08,-1.49%,3.8,3.8M,-4.86%

WNC,WABASH NATIONAL CORP,14.21,-0.13,-0.91%,9.5,324.0K,-3.27%

WRE,WASHINGTON REAL ESTATE,29.36,-0.12,-0.41%,325.9,305.3K,+0.62%

WASH,WASHINGTON TRUST BANCOR,52.60,-0.27,-0.51%,13.0,35.3K,-2.21%

WSBF,WATERSTONE FINANCIAL IN,18.44,-0.21,-1.13%,14.9,45.9K,-3.10%

WSO,WATSCO INC,175.80,+0.70,+0.40%,26.6,175.6K,-2.41%

WTS,WATTS WATER TECH INC,99.05,+0.16,+0.16%,25.7,109.5K,-0.71%

WPP,WAUSAU PAPER CORP,69.29,-0.86,-1.23%,19.0,105.4K,-1.42%

WDFC,WD-40 CO,191.81,+2.05,+1.08%,47.7,144.3K,-1.20%

WBS,WEBSTER FINANCIAL CORP,53.60,+0.45,+0.85%,12.9,271.4K,+0.45%

WMK,WEIS MARKETS INC,40.71,0.00,0.00%,17.5,93.9K,+0.54%

WCG,WELLCARE GROUP INC,335.18,-0.54,-0.16%,27.2,282.1K,+1.51%

WERN,WERNER ENTERPRISES INC,36.51,+0.54,+1.50%,14.9,347.1K,+0.33%

WSBC,WESBANCO INC,36.58,-0.08,-0.22%,12.0,115.5K,-3.20%

WTBA,WEST BANCORPORATION INC,24.89,-0.21,-0.84%,14.5,9.2K,-2.89%

WST,WEST PHARMACEUTICAL SVC,151.46,+1.68,+1.12%,49.7,726.6K,+0.75%

WABC,WESTAMERICA BANCORP,67.06,+0.48,+0.72%,23.0,149.4K,-1.05%

WSTL,WESTELL TECHNOLOGIES IN,1.07,+0.0653,+6.53%,NM,63.0K,+19.01%

WAL,WESTERN ALLIANCE BANCOR,57.59,+0.18,+0.31%,12.2,702.9K,+1.04%

WMC,WESTERN ASSET MTG CAP,10.29,-0.01,-0.10%,14.5,191.0K,-0.39%

WHG,WESTWOOD HOLDINGS GROUP,29.22,+0.09,+0.31%,28.1,26.8K,-1.35%

WEX,WEX INC,217.46,+4.35,+2.04%,145.0,191.9K,+3.82%

WEYS,WEYCO GROUP INC,24.12,-0.05,-0.21%,11.3,9.2K,-8.81%

WHF,WHITEHORSE FINANCE INC,13.67,-0.17,-1.23%,10.4,128.4K,-0.22%

WSR,WHITESTONE REIT,13.18,-0.11,-0.83%,34.7,256.0K,-3.23%

WLH,WILLIAM LYON HOMES,21.10,-0.13,-0.61%,13.3,203.4K,+5.61%

WINA,WINMARK CORP,204.29,-0.70,-0.34%,26.9,11.1K,+3.02%

WGO,WINNEBAGO INDUSTRIES IN,52.15,+0.44,+0.85%,16.0,440.1K,-1.57%

WTFC,WINTRUST FINANCIAL CORP,70.26,-0.04,-0.06%,11.8,244.0K,-0.90%

WETF,WISDOMTREE INVTS INC,4.29,-0.10,-2.28%,429.0,2.0M,-11.36%

WMS,WMS INDUSTRIES INC,40.25,+0.14,+0.35%,NM,335.4K,+3.63%

WWW,WOLVERINE WORLD WIDE,33.53,+0.14,+0.42%,18.2,255.7K,-0.62%

WWD,WOODWARD INC,122.22,+0.96,+0.79%,30.4,332.7K,+3.19%

WRLD,WORLD ACCEPTANCE CORP,87.12,+0.08,+0.09%,13.9,43.4K,+0.83%

WWE,WORLD WRESTLING ENTMNT,63.67,+0.84,+1.34%,115.8,2.4M,-1.85%

WOR,WORTHINGTON INDUSTRIES,40.28,-0.59,-1.44%,25.0,346.7K,-4.50%

WMGI,WRIGHT MEDICAL GROUP IN,30.37,-0.03,-0.10%,NM,1.7M,-0.36%

WSFS,WSFS FINANCIAL CORP,42.74,-0.07,-0.16%,14.0,232.2K,-2.84%

XOMA,XOMA CORPORATION,25.20,-1.08,-4.11%,NM,87.0K,-7.69%

XPO,XPO LOGISTICS INC,78.72,+0.55,+0.70%,24.2,510.0K,-1.23%

YELP,YELP INC,35.16,-0.38,-1.07%,53.3,633.6K,+0.95%

YORW,YORK WATER COMPANY,44.41,+0.25,+0.57%,39.0,44.2K,-3.69%

YRCW,YRC WORLDWIDE INC,2.30,-0.11,-4.56%,NM,1.8M,-9.80%

ZAGG,ZAGG INC,7.71,-0.28,-3.50%,59.3,448.0K,-4.93%

ZIOP,ZIOPHARM ONCOLOGY INC,4.55,-0.04,-0.87%,6.1,1.0M,-3.60%

ZIXI,ZIX CORP,7.73,+0.215,+2.86%,NM,820.1K,+13.94%

ZGNX,ZOGENIX INC,52.70,+0.68,+1.31%,NM,328.5K,+1.09%

ZUMZ,ZUMIEZ INC,33.97,-0.51,-1.49%,14.7,393.7K,-1.66%

